,precision,recall,f1-score,support
0,0.141755635,0.975510204,0.247540135,980
1,0.271634615,0.6969163,0.390906845,1135
2,0.134328358,0.034883721,0.055384615,1032
3,0,0,0,1010
4,0.263157895,0.020366599,0.037807183,982
5,0,0,0,892
6,0,0,0,958
7,0,0,0,1028
8,0,0,0,974
9,0,0,0,1009
accuracy,0.1803,0.1803,0.1803,0.1803
macro avg,0.08108765,0.172767682,0.073163878,10000
weighted avg,0.084427373,0.1803,0.078055218,10000
