,precision,recall,f1-score,support
0,0.142815506,1,0.249936241,980
1,0.358793325,0.985022026,0.525993884,1135
2,0.5,0.000968992,0.001934236,1032
3,0,0,0,1010
4,0.2,0.00407332,0.007984032,982
5,0,0,0,892
6,0,0,0,958
7,0,0,0,1028
8,0,0,0,974
9,0,0,0,1009
accuracy,0.2103,0.2103,0.2103,0.2103
macro avg,0.120160883,0.199006434,0.078584839,10000
weighted avg,0.125958962,0.2103,0.085177702,10000
