,0,1,2,3,4,5,6,7,8,9,accuracy,macro avg,weighted avg
precision,0.15217391304347827,0.3543913713405239,0.27615062761506276,0.43333333333333335,0.20659340659340658,0.05326231691078562,0.15873015873015872,0.36312849162011174,0.1704745166959578,0.05128205128205128,0.2022,0.22195201871648695,0.22675488180330808
recall,0.12857142857142856,0.2026431718061674,0.5755813953488372,0.01287128712871287,0.19144602851323828,0.08968609865470852,0.04175365344467641,0.2529182879377432,0.49794661190965095,0.005946481665014866,0.2022,0.1999364444980178,0.2022
f1-score,0.13938053097345132,0.257847533632287,0.37323279924599434,0.024999999999999994,0.19873150105708243,0.06683375104427736,0.06611570247933884,0.2981651376146789,0.25399319193506154,0.010657193605683837,0.2022,0.16899573415878555,0.1722441241554026
support,980.0,1135.0,1032.0,1010.0,982.0,892.0,958.0,1028.0,974.0,1009.0,0.2022,10000.0,10000.0
