,0,1,2,3,4,5,6,7,8,9,accuracy,macro avg,weighted avg
precision,0.9478435305917753,0.9714795008912656,0.9543610547667343,0.9045323047251688,0.939795918367347,0.9273743016759777,0.9438202247191011,0.9382957884427032,0.9102428722280888,0.887065637065637,0.9328,0.9324811133473799,0.9330465229864306
recall,0.9642857142857143,0.960352422907489,0.9118217054263565,0.9287128712871288,0.9378818737270875,0.9304932735426009,0.964509394572025,0.9319066147859922,0.8850102669404517,0.910802775024777,0.9328,0.9325776912499624,0.9328
f1-score,0.9559939301972686,0.9658839167035888,0.9326065411298314,0.9164631167562287,0.9388379204892966,0.9289311695579183,0.9540526587506454,0.9350902879453392,0.8974492451847995,0.8987775061124694,0.9328,0.9324086292827387,0.9328012768156229
support,980.0,1135.0,1032.0,1010.0,982.0,892.0,958.0,1028.0,974.0,1009.0,0.9328,10000.0,10000.0
