,0,1,2,3,4,5,6,7,8,9,accuracy,macro avg,weighted avg
precision,0.942173479561316,0.9408071748878923,0.9034627492130115,0.7757085020242915,0.8445544554455445,0.9656050955414013,0.8824130879345603,0.9003051881993896,0.9501133786848073,0.7840909090909091,0.8838,0.8889234020583123,0.8885081147992676
recall,0.9642857142857143,0.9242290748898678,0.8343023255813954,0.9485148514851485,0.8686354378818737,0.8497757847533632,0.9008350730688935,0.8608949416342413,0.8603696098562629,0.8206144697720515,0.8838,0.8832457283208812,0.8838
f1-score,0.9531013615733737,0.9324444444444445,0.8675062972292191,0.8534521158129177,0.856425702811245,0.903995229576625,0.8915289256198348,0.8801591248135257,0.9030172413793104,0.8019370460048426,0.8838,0.8843567489265338,0.8844572263015383
support,980.0,1135.0,1032.0,1010.0,982.0,892.0,958.0,1028.0,974.0,1009.0,0.8838,10000.0,10000.0
