[2023-04-10 20:51:25,440][classifier.py][line:184][INFO] Epoch:[55/500]	 loss=1.21178	 acc=0.852
[2023-04-10 20:51:25,447][classifier.py][line:184][INFO] Epoch:[56/500]	 loss=1.08127	 acc=0.889
[2023-04-10 20:51:25,455][classifier.py][line:184][INFO] Epoch:[57/500]	 loss=1.10947	 acc=0.852
[2023-04-10 20:51:25,462][classifier.py][line:184][INFO] Epoch:[58/500]	 loss=1.06055	 acc=0.852
[2023-04-10 20:51:25,470][classifier.py][line:184][INFO] Epoch:[59/500]	 loss=1.14600	 acc=0.852
[2023-04-10 20:51:25,478][classifier.py][line:184][INFO] Epoch:[60/500]	 loss=0.94791	 acc=0.963
[2023-04-10 20:51:25,486][classifier.py][line:184][INFO] Epoch:[61/500]	 loss=0.98597	 acc=0.926
[2023-04-10 20:51:25,494][classifier.py][line:184][INFO] Epoch:[62/500]	 loss=1.02555	 acc=0.963
[2023-04-10 20:51:25,501][classifier.py][line:184][INFO] Epoch:[63/500]	 loss=0.94512	 acc=0.889
[2023-04-10 20:51:25,509][classifier.py][line:184][INFO] Epoch:[64/500]	 loss=0.94589	 acc=0.963
[2023-04-10 20:51:25,517][classifier.py][line:184][INFO] Epoch:[65/500]	 loss=0.96446	 acc=0.926
[2023-04-10 20:51:25,525][classifier.py][line:184][INFO] Epoch:[66/500]	 loss=1.01532	 acc=0.889
[2023-04-10 20:51:25,532][classifier.py][line:184][INFO] Epoch:[67/500]	 loss=1.06611	 acc=0.889
[2023-04-10 20:51:25,540][classifier.py][line:184][INFO] Epoch:[68/500]	 loss=0.93630	 acc=0.963
[2023-04-10 20:51:25,548][classifier.py][line:184][INFO] Epoch:[69/500]	 loss=0.93160	 acc=0.889
[2023-04-10 20:51:25,556][classifier.py][line:184][INFO] Epoch:[70/500]	 loss=0.88051	 acc=0.926
[2023-04-10 20:51:25,563][classifier.py][line:184][INFO] Epoch:[71/500]	 loss=0.96402	 acc=0.926
[2023-04-10 20:51:25,571][classifier.py][line:184][INFO] Epoch:[72/500]	 loss=0.86700	 acc=0.926
[2023-04-10 20:51:25,579][classifier.py][line:184][INFO] Epoch:[73/500]	 loss=0.83914	 acc=0.963
[2023-04-10 20:51:25,587][classifier.py][line:184][INFO] Epoch:[74/500]	 loss=0.83786	 acc=0.963
[2023-04-10 20:51:25,594][classifier.py][line:184][INFO] Epoch:[75/500]	 loss=0.81930	 acc=0.963
[2023-04-10 20:51:25,602][classifier.py][line:184][INFO] Epoch:[76/500]	 loss=0.83450	 acc=0.963
[2023-04-10 20:51:25,610][classifier.py][line:184][INFO] Epoch:[77/500]	 loss=0.83662	 acc=0.889
[2023-04-10 20:51:25,618][classifier.py][line:184][INFO] Epoch:[78/500]	 loss=0.82846	 acc=0.963
[2023-04-10 20:51:25,625][classifier.py][line:184][INFO] Epoch:[79/500]	 loss=0.68956	 acc=0.963
[2023-04-10 20:51:25,633][classifier.py][line:184][INFO] Epoch:[80/500]	 loss=0.84099	 acc=0.926
[2023-04-10 20:51:25,640][classifier.py][line:184][INFO] Epoch:[81/500]	 loss=0.79387	 acc=0.963
[2023-04-10 20:51:25,647][classifier.py][line:184][INFO] Epoch:[82/500]	 loss=0.66869	 acc=0.926
[2023-04-10 20:51:25,654][classifier.py][line:184][INFO] Epoch:[83/500]	 loss=0.71379	 acc=0.963
[2023-04-10 20:51:25,662][classifier.py][line:184][INFO] Epoch:[84/500]	 loss=0.68152	 acc=0.926
[2023-04-10 20:51:25,669][classifier.py][line:184][INFO] Epoch:[85/500]	 loss=0.65510	 acc=0.963
[2023-04-10 20:51:25,676][classifier.py][line:184][INFO] Epoch:[86/500]	 loss=0.74014	 acc=0.889
[2023-04-10 20:51:25,683][classifier.py][line:184][INFO] Epoch:[87/500]	 loss=0.74234	 acc=0.889
[2023-04-10 20:51:25,690][classifier.py][line:184][INFO] Epoch:[88/500]	 loss=0.67639	 acc=0.926
[2023-04-10 20:51:25,698][classifier.py][line:184][INFO] Epoch:[89/500]	 loss=0.68601	 acc=0.926
[2023-04-10 20:51:25,705][classifier.py][line:184][INFO] Epoch:[90/500]	 loss=0.73535	 acc=0.889
[2023-04-10 20:51:25,712][classifier.py][line:184][INFO] Epoch:[91/500]	 loss=0.58947	 acc=0.963
[2023-04-10 20:51:25,719][classifier.py][line:184][INFO] Epoch:[92/500]	 loss=0.52714	 acc=0.963
[2023-04-10 20:51:25,727][classifier.py][line:184][INFO] Epoch:[93/500]	 loss=0.56952	 acc=0.963
[2023-04-10 20:51:25,734][classifier.py][line:184][INFO] Epoch:[94/500]	 loss=0.54835	 acc=1.000
[2023-04-10 20:51:25,741][classifier.py][line:184][INFO] Epoch:[95/500]	 loss=0.57995	 acc=0.963
[2023-04-10 20:51:25,748][classifier.py][line:184][INFO] Epoch:[96/500]	 loss=0.68799	 acc=0.889
[2023-04-10 20:51:25,756][classifier.py][line:184][INFO] Epoch:[97/500]	 loss=0.61845	 acc=0.926
[2023-04-10 20:51:25,763][classifier.py][line:184][INFO] Epoch:[98/500]	 loss=0.59568	 acc=0.926
[2023-04-10 20:51:25,770][classifier.py][line:184][INFO] Epoch:[99/500]	 loss=0.54729	 acc=0.926
[2023-04-10 20:51:25,777][classifier.py][line:184][INFO] Epoch:[100/500]	 loss=0.57085	 acc=0.963
[2023-04-10 20:51:25,784][classifier.py][line:184][INFO] Epoch:[101/500]	 loss=0.58195	 acc=0.889
[2023-04-10 20:51:25,792][classifier.py][line:184][INFO] Epoch:[102/500]	 loss=0.59374	 acc=0.963
[2023-04-10 20:51:25,799][classifier.py][line:184][INFO] Epoch:[103/500]	 loss=0.58382	 acc=0.889
[2023-04-10 20:51:25,806][classifier.py][line:184][INFO] Epoch:[104/500]	 loss=0.55623	 acc=0.889
[2023-04-10 20:51:25,813][classifier.py][line:184][INFO] Epoch:[105/500]	 loss=0.51950	 acc=0.926
[2023-04-10 20:51:25,820][classifier.py][line:184][INFO] Epoch:[106/500]	 loss=0.51891	 acc=0.926
[2023-04-10 20:51:25,828][classifier.py][line:184][INFO] Epoch:[107/500]	 loss=0.56300	 acc=0.926
[2023-04-10 20:51:25,835][classifier.py][line:184][INFO] Epoch:[108/500]	 loss=0.57839	 acc=0.889
[2023-04-10 20:51:25,842][classifier.py][line:184][INFO] Epoch:[109/500]	 loss=0.48495	 acc=0.963
[2023-04-10 20:51:25,850][classifier.py][line:184][INFO] Epoch:[110/500]	 loss=0.45734	 acc=0.963
[2023-04-10 20:51:25,857][classifier.py][line:184][INFO] Epoch:[111/500]	 loss=0.39287	 acc=0.963
[2023-04-10 20:51:25,864][classifier.py][line:184][INFO] Epoch:[112/500]	 loss=0.56009	 acc=0.926
[2023-04-10 20:51:25,872][classifier.py][line:184][INFO] Epoch:[113/500]	 loss=0.50092	 acc=0.926
[2023-04-10 20:51:25,879][classifier.py][line:184][INFO] Epoch:[114/500]	 loss=0.46111	 acc=0.926
[2023-04-10 20:51:25,886][classifier.py][line:184][INFO] Epoch:[115/500]	 loss=0.47060	 acc=0.926
