,0,1,2,3,4,5,6,7,8,9,accuracy,macro avg,weighted avg
precision,0.9223300970873787,0.9616438356164384,0.9029443838604144,0.7535211267605634,0.8704253214638972,0.9714656290531777,0.8540816326530613,0.8851351351351351,0.9413793103448276,0.8310276679841897,0.8837,0.8893954139959084,0.8893088685807848
recall,0.9693877551020408,0.9277533039647577,0.8023255813953488,0.9534653465346534,0.8961303462321792,0.8396860986547086,0.8736951983298539,0.892023346303502,0.8408624229979466,0.8334985133795837,0.8837,0.8828827912894575,0.8837
f1-score,0.9452736318407962,0.9443946188340808,0.8496664956387892,0.8417832167832168,0.8830908178625188,0.9007817197835238,0.8637770897832817,0.8885658914728682,0.8882863340563991,0.8322612568035626,0.8837,0.8837881072859037,0.8841892087151056
support,980.0,1135.0,1032.0,1010.0,982.0,892.0,958.0,1028.0,974.0,1009.0,0.8837,10000.0,10000.0
