,0,1,2,3,4,5,6,7,8,9,accuracy,macro avg,weighted avg
precision,0.3269107257546564,0.3413498836307215,0.40068104426787743,0.0,0.24011571841851495,0.17828418230563003,0.16722408026755853,0.3167554766133807,0.2926490984743412,0.24260355029585798,0.2867,0.25065737600285387,0.2531783095965891
recall,0.5193877551020408,0.3876651982378855,0.34205426356589147,0.0,0.2535641547861507,0.1491031390134529,0.15657620041753653,0.5204280155642024,0.2166324435318275,0.2844400396432111,0.2867,0.28298512098621986,0.2867
f1-score,0.40126133228222316,0.36303630363036304,0.36905384213277576,0.0,0.24665676077265972,0.16239316239316237,0.16172506738544476,0.39381670960618326,0.24896755162241888,0.2618613138686131,0.2867,0.2608772043693844,0.2639706168275597
support,980.0,1135.0,1032.0,1010.0,982.0,892.0,958.0,1028.0,974.0,1009.0,0.2867,10000.0,10000.0
