,0,1,2,3,4,5,6,7,8,9,accuracy,macro avg,weighted avg
precision,0.6824724809483489,0.5339958158995816,0.7691466083150985,0.0,0.5502392344497608,0.5432525951557093,0.4608187134502924,0.3682588597842835,0.5318761384335154,0.37872340425531914,0.522,0.48187838506919095,0.4813797534336631
recall,0.8224489795918367,0.8995594713656387,0.6812015503875969,0.0,0.3513238289205703,0.35201793721973096,0.8225469728601252,0.23249027237354086,0.2997946611909651,0.7056491575817642,0.522,0.5167032831491769,0.522
f1-score,0.7459509486348913,0.6701673777486052,0.7225077081192189,0.0,0.4288377874456184,0.4272108843537415,0.5907046476761618,0.28503279666070364,0.3834537097833224,0.4929041190723434,0.522,0.47467699794946067,0.47692236112149455
support,980.0,1135.0,1032.0,1010.0,982.0,892.0,958.0,1028.0,974.0,1009.0,0.522,10000.0,10000.0
