,0,1,2,3,4,5,6,7,8,9,accuracy,macro avg,weighted avg
precision,0.7929292929292929,0.9234449760765551,0.881,0.8215686274509804,0.8577319587628865,0.847926267281106,0.8751269035532995,0.9100112485939258,0.7686274509803922,0.8078817733990148,0.8469,0.8486248499027453,0.8500459066336112
recall,0.9612244897959183,0.8502202643171806,0.8536821705426356,0.8297029702970297,0.8472505091649695,0.8251121076233184,0.8997912317327766,0.7869649805447471,0.8049281314168378,0.8126858275520317,0.8469,0.8471562682987445,0.8469
f1-score,0.8690036900369004,0.8853211009174312,0.8671259842519684,0.825615763546798,0.8524590163934427,0.8363636363636364,0.8872876994338651,0.8440271257172666,0.7863590772316951,0.8102766798418972,0.8469,0.84638397737349,0.8469524532921607
support,980.0,1135.0,1032.0,1010.0,982.0,892.0,958.0,1028.0,974.0,1009.0,0.8469,10000.0,10000.0
