,0,1,2,3,4,5,6,7,8,9,accuracy,macro avg,weighted avg
precision,0.9382957884427032,0.9602824360105914,0.9562563580874873,0.9156862745098039,0.9411764705882353,0.9310344827586207,0.9631966351209253,0.9395711500974658,0.8866396761133604,0.9050880626223092,0.9339,0.9337227334351503,0.934131060755176
recall,0.9775510204081632,0.958590308370044,0.9108527131782945,0.9247524752475248,0.945010183299389,0.9080717488789237,0.9561586638830898,0.9377431906614786,0.8993839835728953,0.9167492566897919,0.9339,0.9334863544189596,0.9339
f1-score,0.9575212393803099,0.9594356261022928,0.9330024813895781,0.9201970443349754,0.9430894308943089,0.9194097616345063,0.9596647459402828,0.9386562804284323,0.8929663608562692,0.9108813392417529,0.9339,0.933482431020271,0.9338941143967521
support,980.0,1135.0,1032.0,1010.0,982.0,892.0,958.0,1028.0,974.0,1009.0,0.9339,10000.0,10000.0
