,0,1,2,3,4,5,6,7,8,9,accuracy,macro avg,weighted avg
precision,0.5691144708423326,0.6534031413612565,0.5406852248394004,0.53728949478749,0.5026833631484794,0.5089285714285714,0.43054187192118226,0.5316606929510155,0.46174142480211083,0.5314926660914582,0.5253,0.5267540922173297,0.5292612190463905
recall,0.5377551020408163,0.5497797356828193,0.4893410852713178,0.6633663366336634,0.5723014256619144,0.3834080717488789,0.4561586638830898,0.43287937743190663,0.5390143737166324,0.6105054509415263,0.5253,0.5234509623012567,0.5253
f1-score,0.5529905561385099,0.5971291866028707,0.513733468972533,0.5937084625609216,0.5352380952380952,0.4373401534526854,0.44298023314749113,0.47721179624664883,0.49739459971577454,0.5682656826568266,0.5253,0.5215992234732356,0.5237993289200542
support,980.0,1135.0,1032.0,1010.0,982.0,892.0,958.0,1028.0,974.0,1009.0,0.5253,10000.0,10000.0
