,0,1,2,3,4,5,6,7,8,9,accuracy,macro avg,weighted avg
precision,0.9238187078109933,0.9290484140233722,0.9296794208893485,0.8441176470588235,0.9225130890052357,0.8901734104046243,0.9331306990881459,0.9083798882681564,0.7982541222114452,0.8344497607655502,0.8911,0.8913565159525694,0.8918955863455084
recall,0.9775510204081632,0.9806167400881057,0.8711240310077519,0.8524752475247525,0.8971486761710794,0.8632286995515696,0.9613778705636743,0.7908560311284046,0.8449691991786448,0.8642220019821606,0.8911,0.8903569517604305,0.8911
f1-score,0.9499256321269213,0.9541363051864552,0.8994497248624312,0.8482758620689654,0.9096541042849767,0.8764940239043825,0.9470437017994858,0.8455538221528861,0.8209476309226933,0.8490749756572541,0.8911,0.8900555782966453,0.8906792400803197
support,980.0,1135.0,1032.0,1010.0,982.0,892.0,958.0,1028.0,974.0,1009.0,0.8911,10000.0,10000.0
