,0,1,2,3,4,5,6,7,8,9,accuracy,macro avg,weighted avg
precision,0.9661354581673307,0.9756944444444444,0.97265625,0.971028971028971,0.9646107178968655,0.9518072289156626,0.9787685774946921,0.9654150197628458,0.9576719576719577,0.9292730844793713,0.9635,0.9633061709862141,0.9635522193923475
recall,0.9897959183673469,0.9903083700440528,0.9651162790697675,0.9623762376237623,0.9714867617107943,0.9742152466367713,0.9624217118997912,0.9503891050583657,0.9291581108829569,0.9375619425173439,0.9635,0.9632829683810954,0.9635
f1-score,0.9778225806451611,0.9829470922606034,0.9688715953307394,0.9666832421680756,0.9680365296803652,0.9628808864265926,0.9705263157894738,0.9578431372549019,0.9431995831162064,0.9333991119881598,0.9635,0.963221007466028,0.9634541316133356
support,980.0,1135.0,1032.0,1010.0,982.0,892.0,958.0,1028.0,974.0,1009.0,0.9635,10000.0,10000.0
