,0,1,2,3,4,5,6,7,8,9,accuracy,macro avg,weighted avg
precision,0.8894324853228963,0.8982456140350877,0.8268268268268268,0.8350622406639004,0.8737166324435318,0.7920997920997921,0.8699596774193549,0.860248447204969,0.8505997818974919,0.7951127819548872,0.8497,0.8491304279868739,0.850090326276974
recall,0.9275510204081633,0.9022026431718062,0.8003875968992248,0.7970297029702971,0.8665987780040734,0.8542600896860987,0.9008350730688935,0.8083657587548638,0.8008213552361396,0.8384539147670962,0.8497,0.8496505932966656,0.8497
f1-score,0.9080919080919081,0.9002197802197803,0.8133924175283112,0.8156028368794328,0.8701431492842536,0.8220064724919093,0.8851282051282052,0.8335005015045136,0.8249603384452671,0.8162083936324169,0.8497,0.8489254003205998,0.8494426681557145
support,980.0,1135.0,1032.0,1010.0,982.0,892.0,958.0,1028.0,974.0,1009.0,0.8497,10000.0,10000.0
