,0,1,2,3,4,5,6,7,8,9,accuracy,macro avg,weighted avg
precision,0.8513011152416357,0.918552036199095,0.8126195028680688,0.8610240334378265,0.893305439330544,0.8073196986006459,0.8598409542743539,0.8295238095238096,0.8488241881298992,0.8279022403258656,0.8516,0.8510213017931745,0.8521030597441824
recall,0.9346938775510204,0.8942731277533039,0.8236434108527132,0.8158415841584158,0.869653767820774,0.8408071748878924,0.9029227557411273,0.8472762645914397,0.7782340862422998,0.8057482656095144,0.8516,0.8513094315208501,0.8516
f1-score,0.8910505836575874,0.90625,0.8180943214629453,0.8378240976105744,0.8813209494324047,0.8237232289950576,0.8808553971486763,0.8383060635226179,0.8119978575254418,0.8166750376695128,0.8516,0.8506097537024818,0.8513066422935089
support,980.0,1135.0,1032.0,1010.0,982.0,892.0,958.0,1028.0,974.0,1009.0,0.8516,10000.0,10000.0
