,0,1,2,3,4,5,6,7,8,9,accuracy,macro avg,weighted avg
precision,0.9447186574531096,0.9716563330380869,0.9298076923076923,0.922244094488189,0.941473259334006,0.9186813186813186,0.9540229885057471,0.9513677811550152,0.9106776180698152,0.9277721261444557,0.9378,0.9372421869177435,0.9378754950422233
recall,0.976530612244898,0.9665198237885463,0.937015503875969,0.9277227722772278,0.9501018329938901,0.9372197309417041,0.9530271398747391,0.9134241245136187,0.9106776180698152,0.9038652130822596,0.9378,0.9376104371662668,0.9378
f1-score,0.9603612644254893,0.9690812720848058,0.9333976833976834,0.9249753208292202,0.9457678661936139,0.927857935627081,0.9535248041775457,0.9320099255583126,0.9106776180698152,0.9156626506024096,0.9378,0.9373316340965978,0.9377432669772506
support,980.0,1135.0,1032.0,1010.0,982.0,892.0,958.0,1028.0,974.0,1009.0,0.9378,10000.0,10000.0
