,0,1,2,3,4,5,6,7,8,9,accuracy,macro avg,weighted avg
precision,0.33545855811672387,0.47578125,0.4737631184407796,0.5753246753246753,0.4567441860465116,0.5354449472096531,0.49142156862745096,0.5291902071563088,0.41734860883797054,0.313953488372093,0.4321,0.4604430608132167,0.46029682600992894
recall,0.6979591836734694,0.5365638766519824,0.3062015503875969,0.4386138613861386,0.5,0.39798206278026904,0.418580375782881,0.2733463035019455,0.2618069815195072,0.48166501486620417,0.4321,0.4312719210549994,0.4321
f1-score,0.45313017555481944,0.5043478260869565,0.37198351971748084,0.49775280898876395,0.4773942634905202,0.4565916398713826,0.4520856820744081,0.3604874919820398,0.3217665615141956,0.38013296832225263,0.4321,0.42756729376028196,0.42798346147292743
support,980.0,1135.0,1032.0,1010.0,982.0,892.0,958.0,1028.0,974.0,1009.0,0.4321,10000.0,10000.0
